date,indicator_name,category,region,refresh,close
2021-01-04,EUR/JPY,FX,Global,daily,126.449026
2021-01-05,EUR/JPY,FX,Global,daily,126.26965
2021-01-06,EUR/JPY,FX,Global,daily,126.89425
2021-01-07,EUR/JPY,FX,Global,daily,127.35976
2021-01-08,EUR/JPY,FX,Global,daily,127.286028
2021-01-11,EUR/JPY,FX,Global,daily,126.752304
2021-01-12,EUR/JPY,FX,Global,daily,126.656712
2021-01-13,EUR/JPY,FX,Global,daily,126.344169
2021-01-14,EUR/JPY,FX,Global,daily,126.009096
2021-01-15,EUR/JPY,FX,Global,daily,125.58762
2021-01-19,EUR/JPY,FX,Global,daily,125.94063599999998
2021-01-21,EUR/JPY,FX,Global,daily,125.765051
2021-01-22,EUR/JPY,FX,Global,daily,126.369304
2021-01-25,EUR/JPY,FX,Global,daily,125.968164
2021-01-26,EUR/JPY,FX,Global,daily,125.95224299999998
2021-01-27,EUR/JPY,FX,Global,daily,125.959309
2021-01-28,EUR/JPY,FX,Global,daily,126.444582
2021-01-29,EUR/JPY,FX,Global,daily,126.98064
2021-02-01,EUR/JPY,FX,Global,daily,126.69879
2021-02-02,EUR/JPY,FX,Global,daily,126.31818
2021-02-03,EUR/JPY,FX,Global,daily,126.322625
2021-02-04,EUR/JPY,FX,Global,daily,126.241882
2021-02-05,EUR/JPY,FX,Global,daily,126.89704
2021-02-08,EUR/JPY,FX,Global,daily,126.701355
2021-02-09,EUR/JPY,FX,Global,daily,126.652972
2021-02-10,EUR/JPY,FX,Global,daily,126.985644
2021-02-11,EUR/JPY,FX,Global,daily,127.030325
2021-02-12,EUR/JPY,FX,Global,daily,127.25024399999998
2021-02-16,EUR/JPY,FX,Global,daily,128.188916
2021-02-17,EUR/JPY,FX,Global,daily,127.440486
2021-02-18,EUR/JPY,FX,Global,daily,127.652382
2021-02-19,EUR/JPY,FX,Global,daily,128.131888
2021-02-22,EUR/JPY,FX,Global,daily,127.70043
2021-02-23,EUR/JPY,FX,Global,daily,127.74598199999998
2021-02-24,EUR/JPY,FX,Global,daily,128.60651299999998
2021-02-25,EUR/JPY,FX,Global,daily,129.89643800000002
2021-02-26,EUR/JPY,FX,Global,daily,128.959752
2021-03-01,EUR/JPY,FX,Global,daily,128.592072
2021-03-02,EUR/JPY,FX,Global,daily,128.943325
2021-03-03,EUR/JPY,FX,Global,daily,129.084516
2021-03-04,EUR/JPY,FX,Global,daily,129.58011
2021-03-05,EUR/JPY,FX,Global,daily,128.957136
2021-03-08,EUR/JPY,FX,Global,daily,129.05930800000002
2021-03-09,EUR/JPY,FX,Global,daily,129.11864
2021-03-10,EUR/JPY,FX,Global,daily,129.2102
2021-03-11,EUR/JPY,FX,Global,daily,129.889432
2021-03-12,EUR/JPY,FX,Global,daily,130.12142400000002
2021-03-15,EUR/JPY,FX,Global,daily,130.026387
2021-03-16,EUR/JPY,FX,Global,daily,129.667395
2021-03-17,EUR/JPY,FX,Global,daily,130.02641
2021-03-18,EUR/JPY,FX,Global,daily,129.957622
2021-03-19,EUR/JPY,FX,Global,daily,129.629465
2021-03-22,EUR/JPY,FX,Global,daily,129.665044
2021-03-23,EUR/JPY,FX,Global,daily,128.941792
2021-03-24,EUR/JPY,FX,Global,daily,128.733111
2021-03-25,EUR/JPY,FX,Global,daily,128.522401
2021-03-26,EUR/JPY,FX,Global,daily,129.24709
2021-03-29,EUR/JPY,FX,Global,daily,129.250967
2021-03-30,EUR/JPY,FX,Global,daily,129.186756
2021-03-31,EUR/JPY,FX,Global,daily,129.889323
2021-04-01,EUR/JPY,FX,Global,daily,130.210092
2021-04-02,EUR/JPY,FX,Global,daily,130.181121
2021-04-05,EUR/JPY,FX,Global,daily,130.00448
2021-04-06,EUR/JPY,FX,Global,daily,130.170516
2021-04-07,EUR/JPY,FX,Global,daily,130.39763000000002
2021-04-08,EUR/JPY,FX,Global,daily,130.0512
2021-04-09,EUR/JPY,FX,Global,daily,130.438708
2021-04-12,EUR/JPY,FX,Global,daily,130.298301
2021-04-13,EUR/JPY,FX,Global,daily,130.361941
2021-04-14,EUR/JPY,FX,Global,daily,130.432782
2021-04-15,EUR/JPY,FX,Global,daily,130.14439199999998
2021-04-16,EUR/JPY,FX,Global,daily,130.31844
2021-04-19,EUR/JPY,FX,Global,daily,130.01065200000002
2021-04-20,EUR/JPY,FX,Global,daily,130.170315
2021-04-21,EUR/JPY,FX,Global,daily,130.064697
2021-04-22,EUR/JPY,FX,Global,daily,129.933804
2021-04-23,EUR/JPY,FX,Global,daily,130.272786
2021-04-26,EUR/JPY,FX,Global,daily,130.641396
2021-04-27,EUR/JPY,FX,Global,daily,131.129624
2021-04-28,EUR/JPY,FX,Global,daily,131.638338
2021-04-29,EUR/JPY,FX,Global,daily,131.92634
2021-04-30,EUR/JPY,FX,Global,daily,131.52399
2021-05-03,EUR/JPY,FX,Global,daily,131.539572
2021-05-04,EUR/JPY,FX,Global,daily,131.361076
2021-05-05,EUR/JPY,FX,Global,daily,131.156781
2021-05-06,EUR/JPY,FX,Global,daily,131.538933
2021-05-07,EUR/JPY,FX,Global,daily,132.01458
2021-05-10,EUR/JPY,FX,Global,daily,132.2879
2021-05-11,EUR/JPY,FX,Global,daily,132.07015700000002
2021-05-12,EUR/JPY,FX,Global,daily,132.246522
2021-05-13,EUR/JPY,FX,Global,daily,132.23892
2021-05-14,EUR/JPY,FX,Global,daily,132.786117
2021-05-17,EUR/JPY,FX,Global,daily,132.696135
2021-05-18,EUR/JPY,FX,Global,daily,133.024903
2021-05-19,EUR/JPY,FX,Global,daily,132.861216
2021-05-20,EUR/JPY,FX,Global,daily,132.995775
2021-05-21,EUR/JPY,FX,Global,daily,132.667132
2021-05-24,EUR/JPY,FX,Global,daily,132.85701
2021-05-25,EUR/JPY,FX,Global,daily,133.278535
2021-05-26,EUR/JPY,FX,Global,daily,133.14564
2021-05-27,EUR/JPY,FX,Global,daily,133.90231400000002
2021-05-28,EUR/JPY,FX,Global,daily,133.926702
2021-06-01,EUR/JPY,FX,Global,daily,133.953263
2021-06-02,EUR/JPY,FX,Global,daily,133.84226700000002
2021-06-03,EUR/JPY,FX,Global,daily,133.68141599999998
2021-06-04,EUR/JPY,FX,Global,daily,133.196966
2021-06-07,EUR/JPY,FX,Global,daily,133.285
2021-06-08,EUR/JPY,FX,Global,daily,133.33446
2021-06-09,EUR/JPY,FX,Global,daily,133.548824
2021-06-10,EUR/JPY,FX,Global,daily,133.282177
2021-06-11,EUR/JPY,FX,Global,daily,132.808475
2021-06-14,EUR/JPY,FX,Global,daily,133.361748
2021-06-15,EUR/JPY,FX,Global,daily,133.46544
2021-06-16,EUR/JPY,FX,Global,daily,133.163572
2021-06-17,EUR/JPY,FX,Global,daily,131.354508
2021-06-18,EUR/JPY,FX,Global,daily,130.841312
2021-06-21,EUR/JPY,FX,Global,daily,131.260998
2021-06-22,EUR/JPY,FX,Global,daily,131.90325
2021-06-23,EUR/JPY,FX,Global,daily,132.4777
2021-06-24,EUR/JPY,FX,Global,daily,132.28235700000002
2021-06-25,EUR/JPY,FX,Global,daily,132.27132
2021-06-28,EUR/JPY,FX,Global,daily,131.9149
2021-06-29,EUR/JPY,FX,Global,daily,131.585965
2021-06-30,EUR/JPY,FX,Global,daily,131.57204000000002
2021-07-01,EUR/JPY,FX,Global,daily,132.276692
2021-07-02,EUR/JPY,FX,Global,daily,131.844544
2021-07-06,EUR/JPY,FX,Global,daily,130.755856
2021-07-07,EUR/JPY,FX,Global,daily,130.564786
2021-07-08,EUR/JPY,FX,Global,daily,130.02687999999998
2021-07-09,EUR/JPY,FX,Global,daily,130.684498
2021-07-12,EUR/JPY,FX,Global,daily,130.864888
2021-07-13,EUR/JPY,FX,Global,daily,130.368268
2021-07-14,EUR/JPY,FX,Global,daily,130.12147800000002
2021-07-15,EUR/JPY,FX,Global,daily,129.92503000000002
2021-07-16,EUR/JPY,FX,Global,daily,130.06353
2021-07-19,EUR/JPY,FX,Global,daily,129.19477999999998
2021-07-20,EUR/JPY,FX,Global,daily,129.441792
2021-07-21,EUR/JPY,FX,Global,daily,130.048578
2021-07-22,EUR/JPY,FX,Global,daily,129.59871
2021-07-23,EUR/JPY,FX,Global,daily,129.98257199999998
2021-07-26,EUR/JPY,FX,Global,daily,130.27611000000002
2021-07-27,EUR/JPY,FX,Global,daily,129.71508400000002
2021-07-28,EUR/JPY,FX,Global,daily,129.969854
2021-07-29,EUR/JPY,FX,Global,daily,130.18735800000002
2021-07-30,EUR/JPY,FX,Global,daily,130.14808
2021-08-02,EUR/JPY,FX,Global,daily,129.676906
2021-08-03,EUR/JPY,FX,Global,daily,129.369831
2021-08-04,EUR/JPY,FX,Global,daily,129.58790399999998
2021-08-05,EUR/JPY,FX,Global,daily,129.92204999999998
2021-08-06,EUR/JPY,FX,Global,daily,129.629742
2021-08-09,EUR/JPY,FX,Global,daily,129.532725
2021-08-10,EUR/JPY,FX,Global,daily,129.574988
2021-08-11,EUR/JPY,FX,Global,daily,129.658639
2021-08-12,EUR/JPY,FX,Global,daily,129.518496
2021-08-13,EUR/JPY,FX,Global,daily,129.4611
2021-08-16,EUR/JPY,FX,Global,daily,128.664576
2021-08-17,EUR/JPY,FX,Global,daily,128.373726
2021-08-18,EUR/JPY,FX,Global,daily,128.62838399999998
2021-08-19,EUR/JPY,FX,Global,daily,128.330675
2021-08-20,EUR/JPY,FX,Global,daily,128.32113
2021-08-23,EUR/JPY,FX,Global,daily,128.793896
2021-08-24,EUR/JPY,FX,Global,daily,128.83012800000003
2021-08-25,EUR/JPY,FX,Global,daily,129.373274
2021-08-26,EUR/JPY,FX,Global,daily,129.476849
2021-08-27,EUR/JPY,FX,Global,daily,129.545296
2021-08-30,EUR/JPY,FX,Global,daily,129.638845
2021-08-31,EUR/JPY,FX,Global,daily,129.85899999999998
2021-09-01,EUR/JPY,FX,Global,daily,130.38555
2021-09-02,EUR/JPY,FX,Global,daily,130.449858
2021-09-03,EUR/JPY,FX,Global,daily,130.296176
2021-09-07,EUR/JPY,FX,Global,daily,130.540433
2021-09-08,EUR/JPY,FX,Global,daily,130.376176
2021-09-09,EUR/JPY,FX,Global,daily,129.813152
2021-09-10,EUR/JPY,FX,Global,daily,129.948253
2021-09-13,EUR/JPY,FX,Global,daily,129.828146
2021-09-14,EUR/JPY,FX,Global,daily,129.661984
2021-09-15,EUR/JPY,FX,Global,daily,129.21234
2021-09-16,EUR/JPY,FX,Global,daily,129.015788
2021-09-17,EUR/JPY,FX,Global,daily,129.003596
2021-09-20,EUR/JPY,FX,Global,daily,128.397363
2021-09-21,EUR/JPY,FX,Global,daily,128.178492
2021-09-22,EUR/JPY,FX,Global,daily,128.64770099999998
2021-09-23,EUR/JPY,FX,Global,daily,129.284495
2021-09-24,EUR/JPY,FX,Global,daily,129.70848
2021-09-27,EUR/JPY,FX,Global,daily,129.857094
2021-09-28,EUR/JPY,FX,Global,daily,130.044573
