date,indicator_name,category,region,refresh,close
2023-01-03,EUR/JPY,FX,Global,daily,138.14339700000002
2023-01-04,EUR/JPY,FX,Global,daily,140.184
2023-01-05,EUR/JPY,FX,Global,daily,140.542354
2023-01-06,EUR/JPY,FX,Global,daily,140.39379900000003
2023-01-09,EUR/JPY,FX,Global,daily,141.56692200000003
2023-01-10,EUR/JPY,FX,Global,daily,141.996825
2023-01-11,EUR/JPY,FX,Global,daily,142.39092000000002
2023-01-12,EUR/JPY,FX,Global,daily,140.428425
2023-01-13,EUR/JPY,FX,Global,daily,138.21863499999998
2023-01-17,EUR/JPY,FX,Global,daily,138.344674
2023-01-18,EUR/JPY,FX,Global,daily,139.072815
2023-01-19,EUR/JPY,FX,Global,daily,138.88688
2023-01-20,EUR/JPY,FX,Global,daily,140.77050699999998
2023-01-23,EUR/JPY,FX,Global,daily,141.994685
2023-01-24,EUR/JPY,FX,Global,daily,141.425111
2023-01-25,EUR/JPY,FX,Global,daily,141.320564
2023-01-26,EUR/JPY,FX,Global,daily,141.69264
2023-01-27,EUR/JPY,FX,Global,daily,141.075858
2023-01-30,EUR/JPY,FX,Global,daily,141.640478
2023-01-31,EUR/JPY,FX,Global,daily,141.338586
2023-02-01,EUR/JPY,FX,Global,daily,141.124059
2023-02-02,EUR/JPY,FX,Global,daily,140.24171
2023-02-03,EUR/JPY,FX,Global,daily,141.883275
2023-02-06,EUR/JPY,FX,Global,daily,142.345272
2023-02-07,EUR/JPY,FX,Global,daily,140.631585
2023-02-08,EUR/JPY,FX,Global,daily,140.905218
2023-02-09,EUR/JPY,FX,Global,daily,140.947578
2023-02-10,EUR/JPY,FX,Global,daily,140.3105
2023-02-13,EUR/JPY,FX,Global,daily,142.23857800000002
2023-02-14,EUR/JPY,FX,Global,daily,142.65621000000002
2023-02-15,EUR/JPY,FX,Global,daily,143.387226
2023-02-16,EUR/JPY,FX,Global,daily,143.11218
2023-02-17,EUR/JPY,FX,Global,daily,143.30943800000003
2023-02-21,EUR/JPY,FX,Global,daily,143.730959
2023-02-22,EUR/JPY,FX,Global,daily,143.16617100000002
2023-02-23,EUR/JPY,FX,Global,daily,142.65884000000003
2023-02-24,EUR/JPY,FX,Global,daily,143.79162000000002
2023-02-27,EUR/JPY,FX,Global,daily,144.29632800000002
2023-02-28,EUR/JPY,FX,Global,daily,144.282618
2023-03-01,EUR/JPY,FX,Global,daily,144.97426799999997
2023-03-02,EUR/JPY,FX,Global,daily,144.98198000000002
2023-03-03,EUR/JPY,FX,Global,daily,144.47314400000002
2023-03-06,EUR/JPY,FX,Global,daily,145.363542
2023-03-07,EUR/JPY,FX,Global,daily,144.74437
2023-03-08,EUR/JPY,FX,Global,daily,144.711182
2023-03-09,EUR/JPY,FX,Global,daily,144.280857
2023-03-10,EUR/JPY,FX,Global,daily,143.94979500000002
2023-03-13,EUR/JPY,FX,Global,daily,142.88842899999997
2023-03-14,EUR/JPY,FX,Global,daily,144.02862600000003
2023-03-15,EUR/JPY,FX,Global,daily,139.91533500000003
2023-03-16,EUR/JPY,FX,Global,daily,141.283222
2023-03-17,EUR/JPY,FX,Global,daily,140.55104699999998
2023-03-20,EUR/JPY,FX,Global,daily,141.090798
2023-03-21,EUR/JPY,FX,Global,daily,142.441563
2023-03-22,EUR/JPY,FX,Global,daily,143.177464
2023-03-23,EUR/JPY,FX,Global,daily,142.64811
2023-03-24,EUR/JPY,FX,Global,daily,140.594768
2023-03-27,EUR/JPY,FX,Global,daily,141.864561
2023-03-28,EUR/JPY,FX,Global,daily,142.023868
2023-03-29,EUR/JPY,FX,Global,daily,143.650194
2023-03-30,EUR/JPY,FX,Global,daily,144.64062900000002
2023-03-31,EUR/JPY,FX,Global,daily,144.3258
2023-04-03,EUR/JPY,FX,Global,daily,144.142385
2023-04-04,EUR/JPY,FX,Global,daily,144.11515999999995
2023-04-05,EUR/JPY,FX,Global,daily,143.14589800000002
2023-04-06,EUR/JPY,FX,Global,daily,143.87580899999998
2023-04-07,EUR/JPY,FX,Global,daily,144.17164300000002
2023-04-10,EUR/JPY,FX,Global,daily,144.985
2023-04-11,EUR/JPY,FX,Global,daily,145.736878
2023-04-12,EUR/JPY,FX,Global,daily,146.401775
2023-04-13,EUR/JPY,FX,Global,daily,146.321798
2023-04-14,EUR/JPY,FX,Global,daily,146.84652000000003
2023-04-17,EUR/JPY,FX,Global,daily,146.81766499999998
2023-04-18,EUR/JPY,FX,Global,daily,146.95773800000003
2023-04-19,EUR/JPY,FX,Global,daily,147.63548699999998
2023-04-20,EUR/JPY,FX,Global,daily,147.1077
2023-04-21,EUR/JPY,FX,Global,daily,147.345444
2023-04-24,EUR/JPY,FX,Global,daily,148.213907
2023-04-25,EUR/JPY,FX,Global,daily,146.92732800000002
2023-04-26,EUR/JPY,FX,Global,daily,147.787344
2023-04-27,EUR/JPY,FX,Global,daily,147.671868
2023-04-28,EUR/JPY,FX,Global,daily,150.13296000000005
2023-05-01,EUR/JPY,FX,Global,daily,150.67295
2023-05-02,EUR/JPY,FX,Global,daily,150.06506199999998
2023-05-03,EUR/JPY,FX,Global,daily,149.504019
2023-05-04,EUR/JPY,FX,Global,daily,147.256384
2023-05-05,EUR/JPY,FX,Global,daily,148.68561
2023-05-08,EUR/JPY,FX,Global,daily,148.58266000000003
2023-05-09,EUR/JPY,FX,Global,daily,148.029795
2023-05-10,EUR/JPY,FX,Global,daily,147.514632
2023-05-11,EUR/JPY,FX,Global,daily,146.776536
2023-05-12,EUR/JPY,FX,Global,daily,147.239928
2023-05-15,EUR/JPY,FX,Global,daily,147.962518
2023-05-16,EUR/JPY,FX,Global,daily,148.451292
2023-05-17,EUR/JPY,FX,Global,daily,148.92333
2023-05-18,EUR/JPY,FX,Global,daily,149.24759999999998
2023-05-19,EUR/JPY,FX,Global,daily,148.945173
2023-05-22,EUR/JPY,FX,Global,daily,149.82519000000002
2023-05-23,EUR/JPY,FX,Global,daily,149.436854
2023-05-24,EUR/JPY,FX,Global,daily,149.686812
2023-05-25,EUR/JPY,FX,Global,daily,149.946225
2023-05-26,EUR/JPY,FX,Global,daily,150.54978899999998
2023-05-30,EUR/JPY,FX,Global,daily,149.92572600000003
2023-05-31,EUR/JPY,FX,Global,daily,148.92161199999998
2023-06-01,EUR/JPY,FX,Global,daily,149.173248
2023-06-02,EUR/JPY,FX,Global,daily,149.878624
2023-06-05,EUR/JPY,FX,Global,daily,149.708044
2023-06-06,EUR/JPY,FX,Global,daily,149.37706499999996
2023-06-07,EUR/JPY,FX,Global,daily,149.80659599999998
2023-06-08,EUR/JPY,FX,Global,daily,149.65874000000002
2023-06-09,EUR/JPY,FX,Global,daily,149.78731499999998
2023-06-12,EUR/JPY,FX,Global,daily,150.157084
2023-06-13,EUR/JPY,FX,Global,daily,151.088
2023-06-14,EUR/JPY,FX,Global,daily,151.29844700000004
2023-06-15,EUR/JPY,FX,Global,daily,153.597717
2023-06-16,EUR/JPY,FX,Global,daily,154.93835
2023-06-20,EUR/JPY,FX,Global,daily,154.19140000000002
2023-06-21,EUR/JPY,FX,Global,daily,155.602759
2023-06-22,EUR/JPY,FX,Global,daily,156.50741699999998
2023-06-23,EUR/JPY,FX,Global,daily,156.533286
2023-06-26,EUR/JPY,FX,Global,daily,156.61305000000002
2023-06-27,EUR/JPY,FX,Global,daily,157.8384
2023-06-28,EUR/JPY,FX,Global,daily,157.268392
2023-06-29,EUR/JPY,FX,Global,daily,157.469832
2023-06-30,EUR/JPY,FX,Global,daily,157.76124000000002
2023-07-03,EUR/JPY,FX,Global,daily,157.77955
2023-07-05,EUR/JPY,FX,Global,daily,157.107808
2023-07-06,EUR/JPY,FX,Global,daily,156.66905699999998
2023-07-07,EUR/JPY,FX,Global,daily,155.919044
2023-07-10,EUR/JPY,FX,Global,daily,155.588596
