date,indicator_name,classification1,classification2,close
2023-01-01,消費税を除く国内企業物価指数,(参考)夏季電力料金調整後,小類別/__電力,165.7
2023-01-01,消費税を除く国内企業物価指数,(参考)夏季電力料金調整後,類別/_電力・都市ガス・水道,169.7
2023-01-01,消費税を除く国内企業物価指数,品目,18リットル缶,117.7
2023-01-01,消費税を除く国内企業物価指数,品目,あん,109.4
2023-01-01,消費税を除く国内企業物価指数,品目,うず巻ポンプ,108.4
2023-01-01,消費税を除く国内企業物価指数,品目,うま味・風味調味料,106.0
2023-01-01,消費税を除く国内企業物価指数,品目,おう版印刷物,100.4
2023-01-01,消費税を除く国内企業物価指数,品目,かつおパック,116.6
2023-01-01,消費税を除く国内企業物価指数,品目,かばん・袋物,105.4
2023-01-01,消費税を除く国内企業物価指数,品目,がん具,101.2
2023-01-01,消費税を除く国内企業物価指数,品目,ころ軸受,106.9
2023-01-01,消費税を除く国内企業物価指数,品目,こんにゃく,100.0
2023-01-01,消費税を除く国内企業物価指数,品目,しょう油,106.6
2023-01-01,消費税を除く国内企業物価指数,品目,しらす干し,174.1
2023-01-01,消費税を除く国内企業物価指数,品目,すし・弁当・おにぎり,108.3
2023-01-01,消費税を除く国内企業物価指数,品目,そう菜,106.7
2023-01-01,消費税を除く国内企業物価指数,品目,たばこ,115.5
2023-01-01,消費税を除く国内企業物価指数,品目,たれ・めんつゆ,101.6
2023-01-01,消費税を除く国内企業物価指数,品目,つくだ煮,105.8
2023-01-01,消費税を除く国内企業物価指数,品目,てん菜,123.3
2023-01-01,消費税を除く国内企業物価指数,品目,でん粉,143.0
2023-01-01,消費税を除く国内企業物価指数,品目,ねり製品,114.0
2023-01-01,消費税を除く国内企業物価指数,品目,はかり,105.9
2023-01-01,消費税を除く国内企業物価指数,品目,はん用内燃機関,100.7
2023-01-01,消費税を除く国内企業物価指数,品目,ばね,106.2
2023-01-01,消費税を除く国内企業物価指数,品目,ひき割,162.6
2023-01-01,消費税を除く国内企業物価指数,品目,ひき角,157.4
2023-01-01,消費税を除く国内企業物価指数,品目,ぶどう糖・水あめ,137.6
2023-01-01,消費税を除く国内企業物価指数,品目,みそ,97.7
2023-01-01,消費税を除く国内企業物価指数,品目,アイスクリーム,106.4
2023-01-01,消費税を除く国内企業物価指数,品目,アクリロニトリル,174.1
2023-01-01,消費税を除く国内企業物価指数,品目,アスファルト,184.2
2023-01-01,消費税を除く国内企業物価指数,品目,アスファルト塗工紙,110.7
2023-01-01,消費税を除く国内企業物価指数,品目,アルカリ・リチウムイオン蓄電池,109.1
2023-01-01,消費税を除く国内企業物価指数,品目,アルミニウムサッシ,114.5
2023-01-01,消費税を除く国内企業物価指数,品目,アルミニウム合金ダイカスト,119.6
2023-01-01,消費税を除く国内企業物価指数,品目,アルミニウム合金・同二次合金地金,173.6
2023-01-01,消費税を除く国内企業物価指数,品目,アルミニウム製飲料用缶,116.9
2023-01-01,消費税を除く国内企業物価指数,品目,アルミニウム鍛造品,112.2
2023-01-01,消費税を除く国内企業物価指数,品目,アルミ圧延製品,135.1
2023-01-01,消費税を除く国内企業物価指数,品目,イグニッションコイル,101.7
2023-01-01,消費税を除く国内企業物価指数,品目,ウイスキー,100.1
2023-01-01,消費税を除く国内企業物価指数,品目,エチレン,186.5
2023-01-01,消費税を除く国内企業物価指数,品目,エレベータ,101.2
2023-01-01,消費税を除く国内企業物価指数,品目,カメラ用交換レンズ,110.5
2023-01-01,消費税を除く国内企業物価指数,品目,カーエアコン・同部品,106.3
2023-01-01,消費税を除く国内企業物価指数,品目,ガス暖房・調理装置,111.9
2023-01-01,消費税を除く国内企業物価指数,品目,ガソリン,128.8
2023-01-01,消費税を除く国内企業物価指数,品目,ガラス容器,110.2
2023-01-01,消費税を除く国内企業物価指数,品目,ガラス繊維・同製品,112.8
2023-01-01,消費税を除く国内企業物価指数,品目,ガラス製加工素材,95.0
2023-01-01,消費税を除く国内企業物価指数,品目,キシレン,218.6
2023-01-01,消費税を除く国内企業物価指数,品目,キャンデー,104.1
2023-01-01,消費税を除く国内企業物価指数,品目,クッキングヒーター,105.0
2023-01-01,消費税を除く国内企業物価指数,品目,クラフト紙,123.8
2023-01-01,消費税を除く国内企業物価指数,品目,クレーン,110.6
2023-01-01,消費税を除く国内企業物価指数,品目,コンクリートブロック,114.7
2023-01-01,消費税を除く国内企業物価指数,品目,コンクリート機械,114.2
2023-01-01,消費税を除く国内企業物価指数,品目,コンクリート管・ポール・パイル,133.7
2023-01-01,消費税を除く国内企業物価指数,品目,コントロールユニット,99.5
2023-01-01,消費税を除く国内企業物価指数,品目,コンバイン,101.0
2023-01-01,消費税を除く国内企業物価指数,品目,コンベヤ,100.9
2023-01-01,消費税を除く国内企業物価指数,品目,コーヒー,140.1
2023-01-01,消費税を除く国内企業物価指数,品目,コーヒー飲料,101.4
2023-01-01,消費税を除く国内企業物価指数,品目,ゴムベルト,106.7
2023-01-01,消費税を除く国内企業物価指数,品目,ゴムホース,103.7
2023-01-01,消費税を除く国内企業物価指数,品目,ゴムロール,103.0
2023-01-01,消費税を除く国内企業物価指数,品目,ゴム練生地,141.9
2023-01-01,消費税を除く国内企業物価指数,品目,ゴム製パッキン,99.8
2023-01-01,消費税を除く国内企業物価指数,品目,サプリメント,100.8
2023-01-01,消費税を除く国内企業物価指数,品目,サーミスタ,102.6
2023-01-01,消費税を除く国内企業物価指数,品目,シャシー・車体構成部品,114.2
2023-01-01,消費税を除く国内企業物価指数,品目,シャッター,117.3
2023-01-01,消費税を除く国内企業物価指数,品目,ショートニング,152.3
