date,indicator_name,classification1,classification2,close
2022-01-01,消費税を除く国内企業物価指数,(参考)夏季電力料金調整後,小類別/__電力,110.2
2022-01-01,消費税を除く国内企業物価指数,(参考)夏季電力料金調整後,類別/_電力・都市ガス・水道,113.7
2022-01-01,消費税を除く国内企業物価指数,品目,18リットル缶,98.5
2022-01-01,消費税を除く国内企業物価指数,品目,あん,101.3
2022-01-01,消費税を除く国内企業物価指数,品目,うず巻ポンプ,101.2
2022-01-01,消費税を除く国内企業物価指数,品目,うま味・風味調味料,98.2
2022-01-01,消費税を除く国内企業物価指数,品目,おう版印刷物,100.4
2022-01-01,消費税を除く国内企業物価指数,品目,かつおパック,103.4
2022-01-01,消費税を除く国内企業物価指数,品目,かばん・袋物,99.5
2022-01-01,消費税を除く国内企業物価指数,品目,がん具,99.6
2022-01-01,消費税を除く国内企業物価指数,品目,ころ軸受,100.7
2022-01-01,消費税を除く国内企業物価指数,品目,こんにゃく,100.0
2022-01-01,消費税を除く国内企業物価指数,品目,しょう油,99.1
2022-01-01,消費税を除く国内企業物価指数,品目,しらす干し,94.6
2022-01-01,消費税を除く国内企業物価指数,品目,すし・弁当・おにぎり,99.9
2022-01-01,消費税を除く国内企業物価指数,品目,そう菜,100.2
2022-01-01,消費税を除く国内企業物価指数,品目,たばこ,115.5
2022-01-01,消費税を除く国内企業物価指数,品目,たれ・めんつゆ,100.1
2022-01-01,消費税を除く国内企業物価指数,品目,つくだ煮,105.5
2022-01-01,消費税を除く国内企業物価指数,品目,てん菜,109.6
2022-01-01,消費税を除く国内企業物価指数,品目,でん粉,117.5
2022-01-01,消費税を除く国内企業物価指数,品目,ねり製品,102.0
2022-01-01,消費税を除く国内企業物価指数,品目,はかり,103.7
2022-01-01,消費税を除く国内企業物価指数,品目,はん用内燃機関,102.0
2022-01-01,消費税を除く国内企業物価指数,品目,ばね,100.0
2022-01-01,消費税を除く国内企業物価指数,品目,ひき割,184.3
2022-01-01,消費税を除く国内企業物価指数,品目,ひき角,195.0
2022-01-01,消費税を除く国内企業物価指数,品目,ぶどう糖・水あめ,114.4
2022-01-01,消費税を除く国内企業物価指数,品目,みそ,89.8
